13171,Dining and Drinking , Restaurant , German Restaurant , German Pop-Up Restaurant,,
13172,Dining and Drinking , Restaurant , German Restaurant , Palatine Restaurant,,
13173,Dining and Drinking , Restaurant , German Restaurant , Rhenisch Restaurant,,
13174,Dining and Drinking , Restaurant , German Restaurant , Schnitzel Restaurant,,
13175,Dining and Drinking , Restaurant , German Restaurant , Silesian Restaurant,,
13176,Dining and Drinking , Restaurant , German Restaurant , Swabian Restaurant,,
13177,Dining and Drinking , Restaurant , Greek Restaurant,,,
13178,Dining and Drinking , Restaurant , Greek Restaurant , Bougatsa Shop,,
13179,Dining and Drinking , Restaurant , Greek Restaurant , Cretan Restaurant,,
13180,Dining and Drinking , Restaurant , Greek Restaurant , Fish Taverna,,
13181,Dining and Drinking , Restaurant , Greek Restaurant , Grilled Meat Restaurant,,
13182,Dining and Drinking , Restaurant , Greek Restaurant , Kafenio,,
13183,Dining and Drinking , Restaurant , Greek Restaurant , Magirio,,
13184,Dining and Drinking , Restaurant , Greek Restaurant , Meze Restaurant,,
13185,Dining and Drinking , Restaurant , Greek Restaurant , Modern Greek Restaurant,,
13186,Dining and Drinking , Restaurant , Greek Restaurant , Ouzeri,,
13187,Dining and Drinking , Restaurant , Greek Restaurant , Patsa Restaurant,,
13188,Dining and Drinking , Restaurant , Greek Restaurant , Souvlaki Shop,,
13189,Dining and Drinking , Restaurant , Greek Restaurant , Taverna,,
13190,Dining and Drinking , Restaurant , Greek Restaurant , Tsipouro Restaurant,,
13191,Dining and Drinking , Restaurant , Halal Restaurant,,,
13192,Dining and Drinking , Restaurant , Hawaiian Restaurant,,,
13193,Dining and Drinking , Restaurant , Hawaiian Restaurant , Poke Restaurant,,
13194,Dining and Drinking , Restaurant , Asian Restaurant , Himalayan Restaurant,,
13195,Dining and Drinking , Restaurant , Latin American Restaurant , Honduran Restaurant,,
13196,Dining and Drinking , Restaurant , Asian Restaurant , Hotpot Restaurant,,
13197,Dining and Drinking , Restaurant , Hungarian Restaurant,,,
13198,Dining and Drinking , Restaurant , Indian Chinese Restaurant,,,
13199,Dining and Drinking , Restaurant , Indian Restaurant,,,
13200,Dining and Drinking , Restaurant , Indian Restaurant , Andhra Restaurant,,
13201,Dining and Drinking , Restaurant , Indian Restaurant , Awadhi Restaurant,,
13202,Dining and Drinking , Restaurant , Indian Restaurant , Bengali Restaurant,,
13203,Dining and Drinking , Restaurant , Indian Restaurant , Chaat Place,,
13204,Dining and Drinking , Restaurant , Indian Restaurant , Chettinad Restaurant,,
13205,Dining and Drinking , Restaurant , Indian Restaurant , Dhaba,,
13206,Dining and Drinking , Restaurant , Indian Restaurant , Dosa Place,,
13207,Dining and Drinking , Restaurant , Indian Restaurant , Goan Restaurant,,
13208,Dining and Drinking , Restaurant , Indian Restaurant , Gujarati Restaurant,,
13209,Dining and Drinking , Restaurant , Indian Restaurant , Hyderabadi Restaurant,,
13210,Dining and Drinking , Restaurant , Indian Restaurant , Indian Sweet Shop,,
13211,Dining and Drinking , Restaurant , Indian Restaurant , Irani Cafe,,
13212,Dining and Drinking , Restaurant , Indian Restaurant , Jain Restaurant,,
13213,Dining and Drinking , Restaurant , Indian Restaurant , Karnataka Restaurant,,
13214,Dining and Drinking , Restaurant , Indian Restaurant , Kerala Restaurant,,
13215,Dining and Drinking , Restaurant , Indian Restaurant , Maharashtrian Restaurant,,
13216,Dining and Drinking , Restaurant , Indian Restaurant , Mughlai Restaurant,,
13217,Dining and Drinking , Restaurant , Indian Restaurant , Multicuisine Indian Restaurant,,
13218,Dining and Drinking , Restaurant , Indian Restaurant , North Indian Restaurant,,
13219,Dining and Drinking , Restaurant , Indian Restaurant , Northeast Indian Restaurant,,
13220,Dining and Drinking , Restaurant , Indian Restaurant , Parsi Restaurant,,
13221,Dining and Drinking , Restaurant , Indian Restaurant , Punjabi Restaurant,,
